flight_id,from_city,to_city,datetime,cost,cancel_available,time_cancel_available
FL9769,Buon Ma Thuot,Phu Quoc,2025-05-09 08:30,1330000,False,
FL1841,Buon Ma Thuot,Thanh Hoa,2025-05-09 16:45,640000,False,
FL8267,Hanoi,Ho Chi Minh City,2025-05-09 09:45,1580000,False,
FL1958,Vinh,Pleiku,2025-05-09 14:30,1540000,False,
FL1253,Can Tho,Hanoi,2025-05-09 11:30,1850000,True,2025-05-09 08:30
FL2606,Da Nang,Nha Trang,2025-05-09 08:30,730000,True,2025-05-09 02:30
FL6433,Can Tho,Buon Ma Thuot,2025-05-09 12:30,1260000,False,
FL3587,Quy Nhon,Nha Trang,2025-05-09 08:15,1210000,False,
FL2910,Ho Chi Minh City,Can Tho,2025-05-09 12:00,1310000,True,2025-05-09 08:00
FL2831,Phu Quoc,Ho Chi Minh City,2025-05-10 08:30,560000,False,
FL5495,Thanh Hoa,Phu Quoc,2025-05-10 20:45,1240000,True,2025-05-10 18:45
FL7910,Hai Phong,Ho Chi Minh City,2025-05-10 07:15,1550000,True,2025-05-10 01:15
FL1425,Buon Ma Thuot,Hanoi,2025-05-10 06:30,900000,True,2025-05-10 04:30
FL5635,Da Nang,Hai Phong,2025-05-10 14:15,780000,False,
FL9921,Buon Ma Thuot,Phu Quoc,2025-05-10 09:45,1750000,True,2025-05-10 05:45
FL7916,Buon Ma Thuot,Hai Phong,2025-05-10 13:15,1830000,True,2025-05-10 08:15
FL2286,Pleiku,Quy Nhon,2025-05-10 07:30,1820000,False,
FL8350,Can Tho,Hanoi,2025-05-10 07:45,1420000,False,
FL3750,Phu Quoc,Quy Nhon,2025-05-10 17:30,500000,True,2025-05-10 13:30
FL4480,Phu Quoc,Hai Phong,2025-05-11 14:45,1810000,False,
FL1050,Nha Trang,Can Tho,2025-05-11 06:30,1630000,True,2025-05-11 00:30
FL1408,Hai Phong,Thanh Hoa,2025-05-11 18:30,1660000,True,2025-05-11 14:30
FL6743,Da Nang,Ho Chi Minh City,2025-05-11 15:45,610000,False,
FL9735,Thanh Hoa,Hanoi,2025-05-11 11:45,560000,True,2025-05-11 07:45
FL4925,Da Nang,Quy Nhon,2025-05-11 12:45,840000,False,
FL1568,Ho Chi Minh City,Can Tho,2025-05-11 11:30,1310000,True,2025-05-11 07:30
FL1597,Pleiku,Phu Quoc,2025-05-11 20:00,1530000,True,2025-05-11 15:00
FL6130,Hai Phong,Hue,2025-05-11 11:30,900000,True,2025-05-11 09:30
FL6457,Da Nang,Thanh Hoa,2025-05-11 11:45,1010000,False,
FL1647,Ho Chi Minh City,Quy Nhon,2025-05-11 07:45,900000,False,
FL4913,Pleiku,Hue,2025-05-12 16:45,1020000,False,
FL3463,Hue,Nha Trang,2025-05-12 20:00,700000,False,
FL6632,Can Tho,Hue,2025-05-12 15:15,1620000,True,2025-05-12 12:15
FL7098,Ho Chi Minh City,Da Nang,2025-05-12 07:30,1180000,False,
FL6748,Vinh,Hai Phong,2025-05-12 11:45,1880000,False,
FL3216,Thanh Hoa,Ho Chi Minh City,2025-05-12 07:30,1440000,True,2025-05-12 01:30
FL1282,Nha Trang,Hanoi,2025-05-12 17:00,1380000,True,2025-05-12 12:00
FL2866,Da Nang,Hanoi,2025-05-12 14:45,1460000,False,
FL3651,Hanoi,Pleiku,2025-05-12 08:30,710000,False,
FL2677,Hai Phong,Phu Quoc,2025-05-12 15:30,770000,False,
FL1757,Hai Phong,Ho Chi Minh City,2025-05-12 15:00,1680000,False,
FL9026,Buon Ma Thuot,Nha Trang,2025-05-12 20:00,1790000,False,
FL7641,Pleiku,Hue,2025-05-13 09:15,1060000,True,2025-05-13 05:15
FL4803,Hanoi,Hue,2025-05-13 16:45,780000,False,
FL4358,Da Nang,Quy Nhon,2025-05-13 17:00,1670000,True,2025-05-13 15:00
FL8924,Quy Nhon,Ho Chi Minh City,2025-05-13 10:45,1530000,True,2025-05-13 08:45
FL6503,Hanoi,Da Nang,2025-05-13 11:15,1450000,False,
FL2690,Nha Trang,Vinh,2025-05-13 11:30,780000,False,
FL9775,Vinh,Da Nang,2025-05-13 12:00,1560000,True,2025-05-13 08:00
FL7639,Da Nang,Vinh,2025-05-13 20:00,2000000,True,2025-05-13 18:00
FL9253,Can Tho,Quy Nhon,2025-05-14 18:15,650000,False,
FL3878,Ho Chi Minh City,Hai Phong,2025-05-14 10:15,1040000,True,2025-05-14 04:15
FL8308,Phu Quoc,Hue,2025-05-14 11:45,1190000,False,
FL6239,Buon Ma Thuot,Ho Chi Minh City,2025-05-14 17:30,1980000,False,
FL5373,Da Nang,Thanh Hoa,2025-05-14 18:45,940000,True,2025-05-14 14:45
FL9780,Thanh Hoa,Ho Chi Minh City,2025-05-14 19:30,740000,True,2025-05-14 17:30
FL6543,Phu Quoc,Quy Nhon,2025-05-14 18:15,1580000,True,2025-05-14 16:15
FL3508,Vinh,Nha Trang,2025-05-14 19:15,1720000,True,2025-05-14 13:15
FL5167,Vinh,Can Tho,2025-05-15 13:30,570000,False,
FL8825,Pleiku,Can Tho,2025-05-15 09:15,1810000,False,
FL8470,Buon Ma Thuot,Vinh,2025-05-15 10:45,1010000,True,2025-05-15 04:45
FL4803,Hanoi,Thanh Hoa,2025-05-15 06:45,1310000,False,
FL2470,Buon Ma Thuot,Thanh Hoa,2025-05-15 14:15,830000,True,2025-05-15 12:15
FL6497,Hanoi,Quy Nhon,2025-05-15 10:00,1970000,False,
FL5452,Buon Ma Thuot,Hai Phong,2025-05-16 12:45,840000,False,
FL6434,Hue,Pleiku,2025-05-16 17:30,810000,False,
FL5079,Buon Ma Thuot,Phu Quoc,2025-05-16 16:15,1230000,False,
FL3515,Nha Trang,Can Tho,2025-05-16 09:15,1900000,False,
FL9116,Pleiku,Hai Phong,2025-05-16 16:00,1120000,False,
FL7111,Pleiku,Hai Phong,2025-05-16 12:00,630000,False,
FL1301,Ho Chi Minh City,Thanh Hoa,2025-05-16 18:30,1450000,False,
FL8585,Pleiku,Nha Trang,2025-05-16 18:00,960000,True,2025-05-16 12:00
FL3334,Can Tho,Phu Quoc,2025-05-16 13:45,830000,False,
FL7322,Can Tho,Vinh,2025-05-16 06:30,1700000,True,2025-05-16 01:30
FL9358,Hai Phong,Quy Nhon,2025-05-16 15:00,510000,True,2025-05-16 13:00
FL6738,Can Tho,Vinh,2025-05-17 20:30,800000,True,2025-05-17 16:30
FL8600,Hue,Vinh,2025-05-17 07:30,1690000,True,2025-05-17 04:30
FL4225,Hue,Buon Ma Thuot,2025-05-17 14:30,1370000,False,
FL4356,Thanh Hoa,Nha Trang,2025-05-17 09:15,840000,False,
FL7651,Hai Phong,Can Tho,2025-05-17 10:30,670000,True,2025-05-17 08:30
FL5058,Hai Phong,Pleiku,2025-05-17 15:15,990000,True,2025-05-17 12:15
FL9287,Can Tho,Thanh Hoa,2025-05-17 08:45,1710000,True,2025-05-17 06:45
FL7152,Thanh Hoa,Vinh,2025-05-17 14:15,1780000,True,2025-05-17 10:15
FL5742,Vinh,Can Tho,2025-05-18 10:30,890000,True,2025-05-18 06:30
FL1574,Ho Chi Minh City,Quy Nhon,2025-05-18 13:00,1790000,False,
FL1929,Ho Chi Minh City,Da Nang,2025-05-18 11:15,1640000,True,2025-05-18 09:15
FL6934,Can Tho,Hue,2025-05-18 08:00,870000,False,
FL5273,Pleiku,Buon Ma Thuot,2025-05-18 17:15,510000,True,2025-05-18 14:15
FL2808,Vinh,Hai Phong,2025-05-18 16:15,1910000,False,
FL5443,Quy Nhon,Ho Chi Minh City,2025-05-18 15:15,1460000,False,
FL1837,Hai Phong,Vinh,2025-05-18 18:00,1030000,True,2025-05-18 12:00
FL3030,Nha Trang,Vinh,2025-05-19 09:45,1740000,False,
FL7775,Hai Phong,Thanh Hoa,2025-05-19 18:30,1110000,True,2025-05-19 14:30
FL7586,Phu Quoc,Pleiku,2025-05-19 07:15,970000,True,2025-05-19 04:15
FL3019,Da Nang,Ho Chi Minh City,2025-05-19 13:45,1910000,True,2025-05-19 08:45
FL7480,Buon Ma Thuot,Pleiku,2025-05-19 17:30,700000,True,2025-05-19 13:30
FL2056,Hanoi,Hai Phong,2025-05-19 18:00,1310000,True,2025-05-19 12:00
FL8679,Quy Nhon,Hai Phong,2025-05-19 09:15,1910000,False,
FL4586,Hai Phong,Ho Chi Minh City,2025-05-19 16:30,1260000,True,2025-05-19 10:30
FL9645,Da Nang,Buon Ma Thuot,2025-05-19 20:45,550000,True,2025-05-19 18:45
FL1177,Da Nang,Hue,2025-05-20 11:45,520000,False,
FL3810,Hai Phong,Nha Trang,2025-05-20 18:30,690000,True,2025-05-20 12:30
FL4694,Hanoi,Hue,2025-05-20 20:30,1450000,False,
FL1882,Nha Trang,Buon Ma Thuot,2025-05-20 14:15,1250000,False,
FL1017,Da Nang,Thanh Hoa,2025-05-20 13:30,1660000,True,2025-05-20 07:30
FL3835,Phu Quoc,Thanh Hoa,2025-05-20 15:15,1660000,True,2025-05-20 13:15
FL2187,Can Tho,Hanoi,2025-05-21 18:30,690000,True,2025-05-21 16:30
FL7028,Quy Nhon,Nha Trang,2025-05-21 14:00,1530000,False,
FL1676,Can Tho,Hanoi,2025-05-21 20:15,1270000,True,2025-05-21 16:15
FL3457,Hanoi,Buon Ma Thuot,2025-05-21 10:15,1620000,True,2025-05-21 05:15
FL3788,Phu Quoc,Hue,2025-05-21 08:30,690000,True,2025-05-21 03:30
FL6283,Hai Phong,Can Tho,2025-05-21 07:45,1210000,False,
FL9680,Phu Quoc,Hai Phong,2025-05-21 08:45,1690000,True,2025-05-21 02:45
FL6266,Can Tho,Hai Phong,2025-05-22 14:45,830000,True,2025-05-22 10:45
