service,description,hours,notes
Swimming Pool,Outdoor rooftop infinity pool on the 15th floor with panoramic views of Hanoi,06:00 - 22:00,Towels and sunbeds provided complimentary
Spa & Wellness,"Full-service luxury spa with massage therapy, body treatments, facial treatments and steam room",09:00 - 21:00,Advance reservation recommended. In-room treatments available on request.
Fitness Center,"Fully equipped modern gym with cardio machines, free weights and yoga area",24 hours,Complimentary for all guests
Restaurant - The Lotus,Signature restaurant serving Vietnamese and international cuisine,Breakfast: 06:30-10:30 | Lunch: 12:00-14:30 | Dinner: 18:00-22:30,Breakfast included for Club Suite guests. A la carte available for all guests.
Sky Lounge Bar,Rooftop bar with cocktails and wines. Live music on Friday and Saturday evenings.,11:00 - 24:00,Smart casual dress code after 18:00
Room Service,Full menu room service available 24 hours,24 hours,Delivery within 30 minutes guaranteed
WiFi,High-speed complimentary WiFi throughout the hotel including all rooms and public areas,24 hours,Complimentary for all guests. Password provided at check-in.
Business Center,"Meeting rooms with projector, printing and secretarial support",08:00 - 20:00,Reservations required for meeting rooms
Airport Transfer,Private air-conditioned vehicle transfer to/from Noi Bai International Airport,On request,Fee applies. Booking required 24 hours in advance.
Concierge Services,"Tour arrangements, restaurant reservations, ticket booking and local recommendations",24 hours,Complimentary service for all guests
Laundry & Dry Cleaning,Same-day laundry and dry cleaning service,Collected before 09:00 for same-day return,Express service available for additional charge
Parking,Secure underground parking available for hotel guests,24 hours,Fee applies. Valet parking available.
