topic,detail
Hotel name,The Hanoi Grand - A Luxury Collection Hotel
Star rating,5 stars (internationally certified)
Total rooms,120 rooms and suites across 18 floors
Year opened,2018
Front desk,Open 24 hours. Always available to assist.
Phone,+84 24 3826 5678
Email,concierge@hanoigrand.com
Website,www.hanoigrand.com
Languages spoken,Vietnamese, English, French, Japanese, Chinese (Mandarin)
Breakfast,Complimentary breakfast included for Club Suite guests. Available for other guests at additional charge.
Currency,Vietnamese Dong (VND) and USD accepted. Major credit cards accepted (Visa, Mastercard, Amex).
Accessibility,Wheelchair accessible rooms available. Elevator access to all floors. Please inform us of any special requirements.
Child policy,Children of all ages welcome. Children under 6 stay free when using existing bedding.
Group bookings,For groups of 10 rooms or more please contact our sales team at sales@hanoigrand.com
Wedding & events,Full banquet and event facilities available. Contact events@hanoigrand.com for packages.
